id,text,time_zone,place,coordinates,location,user_name,screen_name,retweet_count,favourite_count
1163600958753923073,2019-08-19 23:57:41,"b'~FEMALE SOLD\n\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f Stambum + vaksin\nLokasi : Badung, Bali\nContact : 081246760023(TLP/Wa)\nTrims...\n__________________________________\npugsofinstagrams #pugloversclub\n#pugpuppies #pugbali #pugbalilover\xe2\x80\xa6 https://t.co/GFn66gBBXD'",,,,"b'Mengwi,badung,bali'",b'IWynSuranadiMuliana',b'mul_nick',0,0
1163600214025887745,2019-08-19 23:54:44,b'@feeqanadia Hahahaha parents refuse anak satu. Yg memuda baya kita ni kata dia tak vaksin. Dulu kat sekolah darjah 1 siap kena beratur nangis2 kot kena vaksin. Cemana dia boleh terlepas.',,,,b'',b'Iqah',b'rafiqahramli',0,0
1163600041807765504,2019-08-19 23:54:03,b'Wei gerfren i antivax. Perlu tak aku vaksin kan dia? \xf0\x9f\x98\xa5\xf0\x9f\x98\xa2',,,,b'',b'Lucy',b'Luciferrrrrrrr',1,3
1163599198261936128,2019-08-19 23:50:42,b'@kangdede78 @CCICPolri @PDI_Perjuangan Nongol tuh si vaksin..',,,,b'Jabar',b'Uto Wirdow',b'utowirdow',0,0
1163598443324964864,2019-08-19 23:47:42,"b'Yang cakap \xe2\x80\x9caku tak pernah kena vaksin/suntik dari kecik\xe2\x80\x9d ni biar betul jee ?\n\nCuba tengok sikit kat bahu korang tu, entah entah scar bcg masa lahir tu siap terbentuk jadi love.'",,,,b'',b'Iqah',b'rafiqahramli',0,0
1163596285158367232,2019-08-19 23:39:07,b'Member-member anti vaksin ni kalau kahwin eloklah bagi kondom sebagai hadiah supaya tak membiak dengan jayanya nanti.',,,,"b'Taiping, Perak - Wisteria Lane'",b'Bae\xc5\x8cBOIBOY \xf0\x9f\x94\xa5\xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x92\xa7\xf0\x9f\x8c\xaa\xe2\x9c\xa8\xf0\x9f\x8d\x83',b'Omar_Omark',1,1
1163594755495755777,2019-08-19 23:33:02,b'@SisDaia @EsjayBhaSaya @DeeErnsxt Nama vaksin tue pn xtau ape pandai jea makcik tue ckp ade babi. Bab* btl la.',,,,b'Malaysia',b'xzroluv',b'IntanKirrana1',0,0
1163593255558119424,2019-08-19 23:27:05,b'Babinsa Koramil 13/Buluspesantren melaksanakan pendampingan imunisasi campak dan Rubella bersama para petugas kesehatan Puskesmas Buluspesantren 1 bagi siswa SD Negeri 1 Setrojenar dengan jumlah siswa yang diimunisasi sebanyak 15 orang. https://t.co/SOLdi2hvmn',,,,"b'Panjer,Kebumen'",b'KODIM 0709/KEBUMEN',b'0709Kodim',0,3
1163586826549858305,2019-08-19 23:01:32,"b'@nabilah_humaira Oh tu hidup lagi aku sempat vaksin kan ni anak dia je weh semua mati , anak dia lagi pulak semua gebu gebu haih sayang'",,"Place(_api=<tweepy.api.API object at 0x000001CDA43F9D68>, id='4313fafe1157eaaf', url='https://api.twitter.com/1.1/geo/id/4313fafe1157eaaf.json', place_type='city', name='Labu', full_name='Labu, Negeri Sembilan', country_code='MY', country='Malaysia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDA43F9D68>, type='Polygon', coordinates=[[[101.754231, 2.6271132], [101.9156111, 2.6271132], [101.9156111, 2.8241025], [101.754231, 2.8241025]]]), attributes={})",,"b'Seremban, Negeri Sembilan'",b'Luqman',b'lqmannaqiuddin',0,0
1163585212833394688,2019-08-19 22:55:07,b'Mau vaksin kok tiba-tiba jadi pilek ya  :(',,,,b'\xf0\x9f\x93\x8dSub',b'vina',b'vinazaviranizar',0,0
1163584660330258432,2019-08-19 22:52:56,b'Ga ada vaksin buat virus orang bego apa? \n\nAku lelah sama drama politik + isu SARA gini',,,,b'Singapore',b'Digital NoMad \xef\xa3\xbf',b'javvanice',0,1
1163583826343284736,2019-08-19 22:49:37,"b'Daripada ""Sakit Hati"" lebih baik vaksinasi diri ini, tul gak??\xf0\x9f\x91\x8c\nCegah Hepatitis sejak dini ya!\n.\n.\n.\n#hepatitisB #silentkiller #hepatitisB #knowtherisk #protectyourself #vaksin #vaksinhepatitisb\xe2\x80\xa6 https://t.co/VF3S5cpAmq'",,,,b'Jakarta',b'RumahVaksinasiPusat',b'rumahvaksinasi',0,0
1163573196617998337,2019-08-19 22:07:22,"b'Disaat negara lain udah mikir bikin bulan jadi 2, hape bisa dilipet2, bikin vaksin buat penyembuhan hiv, dll nya kita masih aja RASIS dan ngurusin AGAMA org lain. How sad it is\xf0\x9f\x98\xad https://t.co/X5cv4IqhOP'",,,,"b'Bandung, Jawa Barat'",b'Windy',b'windykrismaaa1',1,0
1163569968522260480,2019-08-19 21:54:33,b'Bila tau org tu anti vaksin ko terus reject tp org tu x solat takde plak ko nk reject terus.. sembang \xf0\x9f\x99\x84\xf0\x9f\x99\x84',,,,"b'Keje kt Chukai, tp asal Cheras'",b'LyNzZ nILzA',b'loneranger01',0,3
1163553690801721344,2019-08-19 20:49:52,b'salam hi siapa kawan saya yang tak di vaksin boleh dm ataupun ws saya sekarang tak? urgent',,,,b'',b'yaya',b'ayafrna',0,0
1163538663927508992,2019-08-19 19:50:09,b'@sitinajwaMY Dari kecil dh semulajadi anti vaksin nye. Hihihi',,,,b'Ipoh PERAK',b'Helmi Rani',b'HelmiRani',0,0
1163533365628170240,2019-08-19 19:29:06,"b'Udh jam segini dan ku susah tidur \xf0\x9f\x98\xad. Posisi tidur udh serba salah, gerah nya ga ketulungan, mana tangan kiri sakit abis suntik imunisasi. Ku ingin bisa bobo nyenyaaakk \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/Y87n6sKmNA'",,,,b'Bandung',b'puput mput',b'puputrahmita',0,0
1163531662669443072,2019-08-19 19:22:20,b'@Sarah_Pndj \xf0\x9f\x91\x8d\nJuga tukang Vaksin Palsu',,,,b'Jakarta ',b'KAMPRET ?......tewas sudah \xf0\x9f\x98\x82',b'02Pecun_dang',0,0
1163530889562771456,2019-08-19 19:19:16,"b'sekejam-kejam arab jahilliah bunuh anak perempuan, kejam lagi mak bapa anti vaksin sebab jenis bunuh anak secara perlahan.'",,,,b'Kuala Lumpur',b'KS | KenakalanSakti',b'KerusiSepi',2,1
1163528592728264705,2019-08-19 19:10:08,b'Mak aku kata dulu memang wajib vaksin. Macam mana boleh terlepas orang yang tak vaksin? https://t.co/HFOxxwATEk',,,,b'seri kembangan ',b'Wawa kefli',b'wanadhwa',0,0
