id,created_at,text,time_zone,place,coordinates,location,user_name,screen_name,retweet_count,favourite_count
1164687743181443073,2019-08-22 23:56:11,b'@yourloliita Oooh kirain vaksin hahahha... mana kirim sinih.... biar bisa mbribik anak SMA \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x81\xf0\x9f\x98\x81',,,,b'',b'\xe2\x96\xbaDad',b'holohart',0,0
1164686400546938880,2019-08-22 23:50:51,b'@yourloliita Serum itu semacam buat vaksin kan...? Sudah lengkap kalau vaksin mah :)',,,,b'',b'\xe2\x96\xbaDad',b'holohart',0,0
1164686318003077120,2019-08-22 23:50:31,"b'pantesan aja goblok , ternyata ga di imunisasi dia https://t.co/owGWdf7vqL'",,,,b'',b'Am I Joke to you?',b'ilhammalik21',0,2
1164685474843074560,2019-08-22 23:47:10,b'Tahukah anda? Kenapa kita tidak boleh menghukum antivaksin dengan denda dan hukuman lain? Kerana kemungkinan mereka \xe2\x80\x98jahil\xe2\x80\x99 dan belum ada kesedaran tentang peri pentingnya imunisasi.',,,,"b'Baling, Kedah, Malaysia'",b'Nurulhusna AS',b'husnasani',1,1
1164685282349764608,2019-08-22 23:46:24,"b'@_Amadke Faham. Bela aku jelah senang amad. Bagi makan ayam je (itupun boleh cari makan sendiri), berak tak merata, tak kencing orang, vaksin amek bila perlu je itu pun ada medical card, hari2 mandi sendiri, grooming pon basic baju hitam je. Paling2 pon kau bawa dia gi gym je hahahaha'",,,,b'',b'LocalSunBear \xf0\x9f\x90\xbb',b'JohanHeartyAnda',0,1
1164682611748327424,2019-08-22 23:35:48,b'Tapi mereka tidak sadar bhw justru kasus ini ibarat vitamin sekaligus imunisasi bagi umat Islam yang akan meningkatkan stamina jihad dan kekebalan ruhani thd serangan musuh Islam. Dan musuh-musuh Islam  itu nyata adanya https://t.co/Wpd1zj1tk5',,,,b'Indonesia',b'Isnawan Aslam',b'kangnawan',14,34
1164681913073672192,2019-08-22 23:33:01,"b'@animalfess udh vaksin?kl blm, skrg lg musim distemper. kl belekan sm bersin terus trs hlg nafsu mkn, better check ke dokter. krn distemper gejalanya mirip flu.kl gada bersin + makan msh bagus, kmungkina cm iritasi mata biasa.Kompres pk aer anget,kasih salep terramicyn seoles sampe sembuh.'",,,,b'a place called home',b'missasoen',b'missasoen',0,0
1164679057193103360,2019-08-22 23:21:40,b'@truelalalala_ nanti malah suntik vaksin jombi',,,,b'',b'kapal bucin hoseok',b'airplaene',0,0
1164665775145140224,2019-08-22 22:28:53,b'Bayi habis vaksin influenza besoknya batpil macam rhinitis alergika lagi. Ku bingung',,,,b'Rantau - Banjarmasin ',b'Rima Permata',b'rimapermataa',0,0
1164663970029981696,2019-08-22 22:21:43,"b'Ngga inget sih dulu siapa yg pegangin waktu pertama vaksin sampe tanganku luka, nyakar2 pas mandiin sampai aku ikut basah, netesin minyak kelapa trs botolnya tumpah (mahal loh rugi), relain jaketku buat krukupan pertama kali adopsi bawa pulang ke Ungaran sdngkn aku kedinginan :) https://t.co/0Kk3RciIOj'",,,,b'indonesia',b'\xf0\x9f\x8c\x9b\xf0\x9f\x8c\x9c',b'selyapriandani',0,0
1164649238829121536,2019-08-22 21:23:11,"b'Kegiatan Bulan Imunisasi Anak Sekolah (BIAS) Campak di sekolah SDN Tugu 3 dan SDN Tugu 9, serta Kegiatan Pemantauan PHBS di sekolah.\nPetugas dari Pkm Tugu Bidan Elita Tanjung, perawat similikitisusy namieazza dan\xe2\x80\xa6 https://t.co/EZ4fNZinpZ'",,,,"b'Depok, Jawa Barat'",b'Puskesmas Tugu',b'pkm_tugu',0,0
1164635625405865984,2019-08-22 20:29:05,b'Takda ke org kuantan ni nak matching suka sama suka. Dah vaksin takde penyakit apa semua. Anak bahagi dua \xf0\x9f\x98\x82',,,,b'Kuantan',b'Daus',b'firdausghani22',0,1
1164632790836506624,2019-08-22 20:17:49,"b'Di jawa program imunisasi mengumpulkan anak"" dalam seminggu bisa kelar.\n\nDi papua sampe 10 tahun juga belom tentu 50% bisa tercapai.'",,,,"b'Denpasar Barat, Indonesia'",b'Arie Dirgantara',b'TheArieAir',5,20
1164631346846683136,2019-08-22 20:12:05,b'@JTYoungmin @RPS_KwangminBF BTW SEBELUM GIGIT UDH DIKASI VAKSIN RABIES LOM YH?\xf0\x9f\x98\x8d',,,,b'ianlova [selective]',b'INDOMIE',b'SANAATWCE',0,0
1164625724260569088,2019-08-22 19:49:45,"b'Hay khayya ...\nUdah Vaksin belum ???\nmenjaga kekebalan tubuh itu perlu, karena hati adanya didalem tubuh \xf0\x9f\x98\x87\xf0\x9f\x98\x81. @ Cagar Alam Depok Gang Nyam\xe1\xbb\xa5k https://t.co/WDyRrG01xt'",,"Place(_api=<tweepy.api.API object at 0x000001CDB95246A0>, id='6066956b38a2b2d9', url='https://api.twitter.com/1.1/geo/id/6066956b38a2b2d9.json', place_type='city', name='Pancoran Mas', full_name='Pancoran Mas, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDB95246A0>, type='Polygon', coordinates=[[[106.7791, -6.415509], [106.837288, -6.415509], [106.837288, -6.373404], [106.7791, -6.373404]]]), attributes={})","{'type': 'Point', 'coordinates': [106.81095073, -6.40759059]}",b'PancoranMas Depok',b'AL',b'AnnidaLutfiah',0,0
1164623775976939520,2019-08-22 19:42:00,b'@mohdamirin_ Macam tak cukup vaksin je bro hm',,,,b'17070',b'aberuding',b'Irwanism',0,0
1164608623982419968,2019-08-22 18:41:47,b'anti vaxxers ni patutnya parents diorang tak vaksin diorang dulu',,,,b'Maher\xf0\x9f\x92\x8d',b'\xe2\x99\x9a',b'AthirahAlias23',0,0
1164601283338129408,2019-08-22 18:12:37,"b'Cuma biayanya agak lumayan, berkisar 1-3 jutaan buat sekali kontrol dan vaksin serviks'",,"Place(_api=<tweepy.api.API object at 0x000001CDB95246A0>, id='019ffe0a3471b036', url='https://api.twitter.com/1.1/geo/id/019ffe0a3471b036.json', place_type='city', name='Tanah Abang', full_name='Tanah Abang, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDB95246A0>, type='Polygon', coordinates=[[[106.801353, -6.226841], [106.832922, -6.226841], [106.832922, -6.17638], [106.801353, -6.17638]]]), attributes={})",,b'From East to West',b'SH Isman Priyadi',b'ntaShnta',0,0
1164600697699987456,2019-08-22 18:10:18,b'Ngeliat postingan insta story temen gue tentang vaksin serviks',,"Place(_api=<tweepy.api.API object at 0x000001CDB95246A0>, id='019ffe0a3471b036', url='https://api.twitter.com/1.1/geo/id/019ffe0a3471b036.json', place_type='city', name='Tanah Abang', full_name='Tanah Abang, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDB95246A0>, type='Polygon', coordinates=[[[106.801353, -6.226841], [106.832922, -6.226841], [106.832922, -6.17638], [106.801353, -6.17638]]]), attributes={})",,b'From East to West',b'SH Isman Priyadi',b'ntaShnta',0,0
1164597895858774016,2019-08-22 17:59:10,b'Vaksinasi berguna untuk menjaga kesehatan kucing dan menghindari dari berbagai penyakit.',,,,b'Diataskepalamu^^',b'Info Kucing',b'InfoMeong',0,0
1164596781893607424,2019-08-22 17:54:44,"b'@wxldrose SINI, VAKSIN. BIAR GAK LIAR.'",,,,b'NSFW. non-dating. eng/bhs.',b'Abby.',b'kitten_png',0,0
1164594528436670464,2019-08-22 17:45:47,b'@luqeman_ Takpa saya tunggu dia vaksin saya aumm',,,,b'',b'dini',b'ardnhmd',0,0
1164594332969529344,2019-08-22 17:45:00,b'@ardnhmd jangan lupa bagi dia vaksin sksks\xf0\x9f\x92\x80',,,,b'',b'\xe2\x9c\xa7',b'luqeman_',0,0
1164593370754244608,2019-08-22 17:41:11,b'budak kecik pun tahu vaksin tu apa https://t.co/d7jtynPME8',,,,b'',b'\xe2\x9c\xa7',b'luqeman_',0,5
1164592383561883648,2019-08-22 17:37:15,b'Dan anti-vaksin cakap vaksin itu memudaratkan https://t.co/1z8G39AsqU',,,,"b'Kuantan, Pahang'",b'Abang Husin',b'sfixtreme7',0,0
1164588556146233344,2019-08-22 17:22:03,b'@Jsubiniei_2 @jeongsaiubin Butuh vaksin huaaa\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',,,,b'#VICTONLAND #HabitatLangka',b'SaiSUBIN MAHESWARA',b'VlCTONSUBlN',0,0
1164587986710695936,2019-08-22 17:19:47,b'@ATMology Orang patutnya kena takut dengan diorg nie mostly tak vaksin. Kang tak pasal2 dapat penyakit pelik2. https://t.co/XEwEEJBqaG',,,,b'Kuantan',b'Miss E',b'EeahAlhabsyi',0,0
1164587267827986432,2019-08-22 17:16:56,b'@ren_kaos Please la jangan kahwin dengan orang yang macam ni. Aku taktau yang mana lagi teruk. Yang tolak untuk vaksin anak ke yang support pedophile.',,,,b'MY',b'\xf0\x9d\x93\x90\xf0\x9d\x93\xb7\xf0\x9d\x93\xb7\xf0\x9d\x93\xaa.',b'ohannnnnnnnna',0,0
1164584965184471045,2019-08-22 17:07:47,"b'@aushabdul_ Klinik Veterina Muezza, Gombak. Rm250 neuter and vaksin untuk kucing betina.'",,,,b'Kuala Lumpur',b'\xe2\x99\xa5 Noora \xe2\x99\xa5',b'shikinsharil',0,0
1164583989375410176,2019-08-22 17:03:54,b'@ernishf tengah sembang pasal vaksin maklumla saya kan budak bio yang hebat',,,,b'amirulrijaluddin',b'abri',b'izatulshafira_',0,0
1164583748446277632,2019-08-22 17:02:57,"b'Pentakit2 yg bisa dicegah dengan vaksin harusnya sudah bisa kita lentapkan dari muka bumi. Tapi selama masih ada yang menolak vaksin atau mereka yang tak terjangkau layanan kesehatan, maka penyakit2 ini akan selalu ada mengintai. https://t.co/HgbbVRhZPu'",,,,b'bintaro',b'Shanty',b'neng_shanty',0,0
1164582397167321088,2019-08-22 16:57:35,"b'@ketengahketepi Yg dekat lengan kiri tu BCG, itu pun vaksin jugak. Seingat saya, kalau takde parut bila darjah satu, nanti suntik lagi sekali. And usually apa2 vaksin akan suntik kat lengan tu jugak'",,,,"b'Sarawak, Malaysia'",b'\xf0\x9d\x99\xa3\xf0\x9d\x99\x9e\xf0\x9d\x99\xa5\xf0\x9d\x99\x9e\xf0\x9d\x99\xa8 \xf0\x9f\x8c\x9b',b'tadinaktidur',0,0
1164581066230784000,2019-08-22 16:52:17,b'Tiap abis suntik vaksin pasti bengkak sama nyerinya bisa sampe seminggu lebihh perasaan orang2 ga begituu huhu jd \xe2\x80\x98don\xe2\x80\x99t touch my body\xe2\x80\x99 mulu tiap hari',,,,"b'Kota Bogor, Jawa Barat'",b'Desi Kristin Kuncoro',b'ecikris',0,0
1164580788517711872,2019-08-22 16:51:11,b'Bina yang tanda kat lengan kita ni cucuk apa ea? Yang vaksin cucuk katne lak? I pro-vaccine k cuma i bodoh dont b\xe2\x80\xa6 \xe2\x80\x94 Anyone?!!! https://t.co/ePOXoeP1Ok',,,,b'',b'Shabina',b'ketengahketepi',0,1
1164577774184439809,2019-08-22 16:39:12,b'@13claudia_ @Rachimah_Syakh jangan lupaa juga apaa tuh suntik2 vaksin gitu yaa kalau ga salah ?',,,,b'yg ada jembatan barelangnya ',b'MAGIC PLEASE DO YOUR TWITER',b'Amoy__',0,0
1164577656001593344,2019-08-22 16:38:44,"b'@masterchangkyun Jangan lupa imunisasi juga ya bu ibu, biar anaknya punya cadangan braincell \xf0\x9f\x99\x8f'",,,,b'star',b'\xea\xb8\xb0\xed\x8c\x8c\xeb\xa6\xb0 \xf0\x9f\x8c\x87 | \xec\x97\x94\xed\x94\x8c\xeb\x9d\xbc\xec\x9e\x89 Idol Band of the year',b'gflyrinn',0,0
1164576390949138432,2019-08-22 16:33:43,b'kucing nak vaksin anak tak vaksin ni bodoh tahap apa ni',,,,b'sel',b'w',b'ctrlwa',0,1
1164573322551521280,2019-08-22 16:21:31,"b'@altefalken @tatariritarri @bis_tingkat @eko_kuntadhi Merdeka aja doloo. vaksin, air bersih, sekolah dan logistik bisa bangsa papua urus setelah punya akses penuh atas mereka sendiri kok.\nSebelum ada ""infrastruktur"" dibelakang dalih pembangunan kapitalistik bangsa papua bisa hidup kok.'",,,,b'Thailand',b'Meha',b'Birdsofprey_',0,0
1164570635047038976,2019-08-22 16:10:50,b'Kenapa sih harus imunisasi \nCampak dan Rubella?\n\nSupaya nanti kalo dicampakkan\nada yang ngebela https://t.co/Zj7McTngBF',,,,b'',b'mantan anda',b'OPINK25659104',0,0
1164569724841127938,2019-08-22 16:07:13,"b'Mama gapapa ga jadi beli skinker heitzz, papa gapapa tiap hari makan rantang rumah sakit, yang penting vaksin kamu lengkap, nak. \xf0\x9f\x99\x83\xf0\x9f\x99\x83\xf0\x9f\x99\x83'",,,,b'',b'Ayu Sabrini Muliani',b'bliniii',0,0
1164569709481586688,2019-08-22 16:07:10,"b""@alianzra Kadang2 dorang lebih faham istilah 'cucuk' 'inject masa kecik\xc2\xb2' berbanding istilah vaksin \xf0\x9f\x98\x85""",,,,b'',b'\xf0\x9f\x92\x8e',b'cuwaya_',0,0
1164567816718245888,2019-08-22 15:59:38,b'Ape yang viral sangat pasal vaksin ? Amik je la ? Kenapa viral takpahaaaam \xe2\x80\x94 Sbb taknak ambik ! Sbb dalam hidup ni ada pilihan !! https://t.co/1iAmNYuOyd',,,,b'',"b'Potassium,K'",b'FurqanPisang',0,0
1164567733712949249,2019-08-22 15:59:18,b'Vaksin tu apa sebenarnya ? Seriously stuck \xe2\x80\x94 Damn it anak dediy. Go and gulugulu !! https://t.co/CufP9fHOT2',,,,b'',"b'Potassium,K'",b'FurqanPisang',0,0
1164567077903990785,2019-08-22 15:56:42,"b'See, setelah vaksin 3x preklinik juga tetep tumbang:('",,,,b'Indonesia',b'nad',b'fromthestarsss',0,0
1164566941954002944,2019-08-22 15:56:10,b'Drama sehabis vaksin adalah anak rewel',,,,b'',b'dara amandah',b'cikububu',0,0
1164566289987166209,2019-08-22 15:53:34,"b'@faezmansurzfael Sabar je la, some ppl Mmg mentality low class as hell. Geng2 yg tolak vaksin la tu semua tu.'",,,,b'Malaysia',b'tantengkualam',b'tantengkualam',0,0
1164565087597649921,2019-08-22 15:48:48,"b'@hermana_t Bapak2 polisi ini sudah terjangkit virus islamphobia....mari sahabat muslim kita cari vaksin nya,agar wabah ini tdk menjalar ke orang2 yg tidak berdosa. Ganas sekali virus ""islamphobia"" bisa menghilangkan akal sehat kita.'",,,,b'Indonesia',b'penguasa hutan',b'Inonkiskandar2',0,3
1164564989648105472,2019-08-22 15:48:24,b'@dikalensa3 @AlterBaseNSFW Vaksin mampus wkwkw',,,,"b'Yogyakarta, Indonesia'",b'Janneyshe',b'janneyshe',0,0
1164564557072748544,2019-08-22 15:46:41,b'Setiap mau vaksin hb bulanan selalu deg degan ga ngerti kenapa wkwk',,,,b'JOG',b'Miftaah',b'miftahilafifahw',0,0
1164564279619489793,2019-08-22 15:45:35,b'@dikalensa3 @AlterBaseNSFW Pake suratw Jan lupa vaksin',,,,"b'Yogyakarta, Indonesia'",b'Janneyshe',b'janneyshe',0,0
1164561745597177856,2019-08-22 15:35:31,b'@gihs_jaehyuk @gihs_jiseob ;; kenapa bawa\xc2\xb2 sejarah deh? Suntikin vaksin nih bedua',,,,b'',b'Bae Eunhee',b'gihs_eunhee',0,0
1164560180916281344,2019-08-22 15:29:18,"b'Jadwal imunisasi anak nii macam jadwal ujian, bikin degdegan :\xe2\x80\x9d\xe2\x80\x9d\xe2\x80\x9d)'",,,,b'indonesia',b'Afifah Nur Laely',b'Afyfah',1,0
1164560025035190272,2019-08-22 15:28:41,"b'Peduli Akan Kesehatan, Babinsa Koramil 04/SB Serda Evo F Panjaitan Bantu Pelaksanaan Imunisasi Anak https://t.co/SnkxuUY2X9'",,,,b'Medan Indonesia',b'GIB',b'gibsumut',0,1
1164559396094930945,2019-08-22 15:26:11,b'Sebab tu before kawen soalan penting kena tanya family pasangan Anti-vaxx ke Pro Vaksin. \n\nBila anak dpt wabak penyakit kau cari doktor jgk kn? Bukan dh susahkn pasangan malahan byk pihak. \n\nKesiannya mak bapak dlu dpt vaksin. Bila kt ank kau abaikn. https://t.co/L6Q5lE0j1I',,,,"b'Muar, Johor'",b'\xd9\x86\xd9\x88\xd8\xb1\xd8\xa7\xd9\x84\xd9\x87\xd8\xaf\xd8\xa7\xdb\x8c\xdb\x81 \xd9\x85\xd8\xb2\xd9\x84\xd9\x86',b'nurullmazlann',0,0
1164557672055599104,2019-08-22 15:19:20,b'my mum is filling darwish\xe2\x80\x99s form pasal vaccine then saja tanya \xe2\x80\x9cmummy bg izin tak?\xe2\x80\x9d then she got mad hshahsha \xe2\x80\x9ceh bagi lah. mummy bukan anti-vaksin\xe2\x80\x9d syukur syukur \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb',,,,b'',b'\xe3\x85\x90',b'raihanaroslan',0,0
1164557172564344840,2019-08-22 15:17:21,b'@Iuhancn Abis imunisasi ya?',,,,b'\xeb\x8c\x80\xed\x95\x9c\xeb\xaf\xbc\xea\xb5\xad ',b'jim',b'haengb0g',0,0
1164557125928050688,2019-08-22 15:17:09,b'Nape org taknak amik vaksin \xe2\x80\x94 Sbb di tipu ? Oleh msg berantai makcik2 ws. But its good tho. So orang lain okay la tak membiak. Itu yang kerajaan nak. Hmn https://t.co/NrBKfZ1L85',,,,b'',"b'Potassium,K'",b'FurqanPisang',0,0
