id,created_at,text,time_zone,place,coordinates,location,user_name,screen_name,retweet_count,favourite_count
1165039900019703808,2019-08-23 23:15:32,"b'@ninuk_pambudy Pengaruh selebriti yg mengkampanyekan anti vaksin?\nSalah satu tervokal adl Jennifer McCarthy. Byk jg yg menentang vaksinasi sbg mandatory mll Bill 276 lalu beranggapan bhw vaksinasi adl hak personal ortu. \nFakta lain, vaksonasi hny cocok utk org dg kondisi dy thn tubuh stabil.'",,,,b'',b'Tyas',b'TyasZain',0,1
1165039830411051009,2019-08-23 23:15:15,"b'sampiyyan pernah vaksin? apa yg dimasukkan? virus yg dilemahkan agar tubuh membuat antibodi khan.\n\nSama dg ini, biar tubuh tahan tdk gudiken kutu air korengen \xf0\x9f\x98\x8a https://t.co/XScLhkmGJ7'",,,,"b'Bangkalan, Indonesia'",b'Madura Garis Lucu',b'meduragarislucu',0,1
1165027979732246528,2019-08-23 22:28:10,b'6 bulan sjk gigi pertama tumbuh periksakan gigi anak ke dokter gigi #imunisasi dewisandra',,,,"b'Tanah Abang, DKI Jakarta'",b'aimma',b'kiutbebi',0,0
1165025816121507841,2019-08-23 22:19:34,b'Mimpi imunisasi tandanya apa',,,,b'Indonesia',b'\xf0\x9f\x98\x9e\xf0\x9f\x92\x85',b'haisister44',0,1
1165011493919707139,2019-08-23 21:22:39,b'@animalfess Ga ada hubungannya sama kebiasaan nya.  \nVaksin itu yg d lawan virus. \nKlo gigut2 mah habit nya',,,,b'',b'INCESS',b'INCESSNYUI',0,0
1165003869648125952,2019-08-23 20:52:21,"b'\xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9a\x95\xf0\x9f\x8f\xa1\xf0\x9f\x90\xb1\xf0\x9f\x92\x89\xf0\x9f\x90\xb6\n.\nHalo om tante sobat Erlangga... .\n.\n.\nYok Jangan lupa utk tidak memvaksin ya , , \nkarna klo ga di vaksin , anabulmu ga kebal, mudah kena virus, bs sakit , lemas, Dan fatalnya cepat sekali kematian karna\xe2\x80\xa6 https://t.co/6Vt1QtwN4T'",,"Place(_api=<tweepy.api.API object at 0x000001CDBF542A20>, id='a7842058dd0a9d09', url='https://api.twitter.com/1.1/geo/id/a7842058dd0a9d09.json', place_type='city', name='Taman', full_name='Taman, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBF542A20>, type='Polygon', coordinates=[[[112.623181, -7.399808], [112.718905, -7.399808], [112.718905, -7.343448], [112.623181, -7.343448]]]), attributes={})","{'type': 'Point', 'coordinates': [112.70135, -7.3782153]}",b'Surabaya',b'Drh.Erlangga Petshop & Petcare',b'DrhErlanggaPets',0,0
1164995611449384960,2019-08-23 20:19:32,"b'Bagaimana kalian bisa bangun manusia pedalaman dan memberi kehidupan kalau menjangkau saja sulit\n\nBagaimana kami salurkan susu, imunisasi, alat"" sekolah jika tak ada jalan'",,,,"b'Denpasar Barat, Indonesia'",b'Arie Dirgantara',b'TheArieAir',12,39
1164986756883611648,2019-08-23 19:44:21,"b'@rltehyungv wkwkwk oiya lupa, kan vaksin nya bareng gw'",,,,b'',b'filav',b'gurlystr',0,0
1164986367249567744,2019-08-23 19:42:49,b'@gurlystr @Basecotan Bangke wkwkwk udh vaksin rabies kok tenang',,,,b'',b'vigop jfb',b'rltehyungv',0,0
1164986029641588737,2019-08-23 19:41:28,"b'@diodent Vaksin yg tambahan io macem IPD, rotarix gitu2 \xf0\x9f\x98\x85 mayan yawww. Yg di Puskesmas yg wajib aja kan?'",,"Place(_api=<tweepy.api.API object at 0x000001CDBF542A20>, id='e4d3eb9106fe011f', url='https://api.twitter.com/1.1/geo/id/e4d3eb9106fe011f.json', place_type='city', name='Sukun', full_name='Sukun, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBF542A20>, type='Polygon', coordinates=[[[112.581564, -8.032391], [112.635586, -8.032391], [112.635586, -7.947026], [112.581564, -7.947026]]]), attributes={})",,"b'Malang,Indonesia'",b'\xf0\x9f\x98\x8c',b'anandinakana',0,0
1164985247936630785,2019-08-23 19:38:22,b'Aku ingat anti-vaksin dengan flat earth dah cukup benak. Ini punya benak lain level ni. Perlekeh course teknologi sambil menggunakan teknologi? \n\nDalam dunia ni tak ada course cikai ye. Semua ilmu tu berguna. Tuhan sendiri suruh kita tuntut ilmu sebanyak mungkin. https://t.co/KwsaB1bsrh',,,,b'izza ',b'Malek Juvadin',b'AimanDin_',0,0
1164984533680132096,2019-08-23 19:35:31,b'@sleekandsweet Hihihi baiklaa kk levi tdk perlu mandi dan imunisasi sekarang\xf0\x9f\x98\x89\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d',,,,b'neverland.',b'bingung mau isi apa',b'geonichirou',0,0
1164970194252337152,2019-08-23 18:38:33,"b'@animalfess Lagi teething apa lg bosen kali, beliin mainan sendiri dia aja. Kalo vaksin rabies mah gaada hubungannya ama dia gigit gigit wk'",,,,b'',b'\xf0\x9f\x90\xb9\xf0\x9f\x8c\xbb',b'ddaramji',0,0
1164967619398496256,2019-08-23 18:28:19,"b'@askmenfess itu giginya gatel, vaksin ngga akan ngurangin gigit2nya. mending di beliin snack gitu yg buat di gigitin tp abisnya lama ada kok aku pernah kasih itu ke anjing aduh aku lupa namanya apa'",,,,b'army;myday',b'\xf0\x9f\x92\x9cTATA\xf0\x9f\x92\x9c',b'moonfairyies',0,0
1164967454432354304,2019-08-23 18:27:39,b'@askmenfess ngga ada hubungan nya :( vaksin rabies buat nangkal penyakit bukan agresifitas. btw anjingnya cowo? udh steril blm? steril bisa ngurangin agresif',,,,b'',b'Jei',b'akpusinq',0,0
1164964542079627264,2019-08-23 18:16:05,b'BCG-itis\n\nAdalah keadaan dimana terjadi reaksi yg berlebihan pada daerah kulit yg disuntik dengan vaksin BCG. Bisa berupa abses berisi nanah yg lbh besar dan lbh banyak dari biasanya. Hal ini tombul beberapa minggu\xe2\x80\xa6 https://t.co/xLZsJi5UV1',,,,b'',b'Dokter BOB WAHYUDIN',b'DokterWahyudin',0,0
1164960654693810176,2019-08-23 18:00:38,b'ini bunda pentingnya memberi anak vaksin sebelum usia 5 th\n#dilan #bacotsantuy https://t.co/8EzlfN9Nvk',,,,b'Magelang',b'KhibranJazmi',b'khibranjazmi',0,0
1164953859506073600,2019-08-23 17:33:38,b'@ReceinAja YaAlloh bambank kaga di vaksin lu y kecil ny',,,,b'',b'Fery Andika',b'fery_andika99',0,0
1164951118318714880,2019-08-23 17:22:45,b'Kenapa banyak orang Anerika Serikat anti thd vaksin? Krn termakan informasi  hoax atau memang vaksin tidak seaman yg dikampanyekan? https://t.co/05YjvC2TKa',,,,b'Jakarta',b'ninuk pambudy',b'ninuk_pambudy',1,6
1164950000066912256,2019-08-23 17:18:18,b'@digeeembok Vaksin palsu nya lisa.',,,,b'',b'BLUE KANG sempal',b'FarelmaxL',0,0
1164948498296426497,2019-08-23 17:12:20,b'Sapa anti vaksin tolong block aku! Hahaha aku tak nak dapat infection bodoh korang tu..',,,,"b'Hoegaarden, Belgi\xc3\xab'",b'\xec\x82\xac\xec\xb0\x8c \xf0\x9f\x8c\x91',b'syazzi',1,1
1164948225121345536,2019-08-23 17:11:15,b'Pentingnya Imunisasi Bagi Anak https://t.co/tJfEEKm8ha',,,,"b'Kota Bengkulu, Bengkulu'",b'Klikwarta.com',b'klikwarta_com',0,0
1164946551401144320,2019-08-23 17:04:36,b'@risenpai *parents awak ok tak vaksin',,,,b'Rumah Penghulu Abu Seman',b'cerpin taxt',b'zrfaziz',0,0
1164946434191347712,2019-08-23 17:04:08,b'me: awak vaksin tak\nhim: saya vaksin la jangan risau kalau tak saya dah mati la',,,,b'',b'the great awake',b'risenpai',0,1
1164946417242259456,2019-08-23 17:04:04,b'@Arissukamto @amelscat @CintaPertiwiku @Quvvatt @NdonB4ck @UyokBack @w_runturambi @ZAEffendy @Hansip__TL @grace_nat Biar pemilik anjing bisa diberi sanksi karena tidak melakukan vaksinasi thdp anjingnya &amp; bertanggung jawab bila ada orang yg diserangnya.',,,,b'Kenya',b'Back To The Future',b'RoadRace2020',0,0
1164945211166011392,2019-08-23 16:59:16,"b'assalamualaikum tuan, saya baru dikurniakan cahayamata, jadi sekarang saya berbelah bahagi sama ada hendak vaksin\xe2\x80\xa6 \xe2\x80\x94 Waalaykumsalam, vaksinlah anak anda. Demi Allah, kita semua memerlukannya. Jangan anti-vaksin; hormati keputusan\xe2\x80\xa6 https://t.co/PUv6Ez6ibU'",,,,b'\xd9\x86\xd9\x8e\xd9\x81\xd9\x8e\xd8\xb1\xd9\x8c',b'Adam Iman',b'alarifiya',5,6
1164944590417252353,2019-08-23 16:56:48,"b'@anandinakana vaksin apa kan? bisa ikut di posyandu kok, ada kmsnya sekalian'",,,,"b'Malang, Jawa Timur'",b'diodenta',b'diodent',0,0
1164944127802277889,2019-08-23 16:54:58,b'@annisattriana Bisa buat imunisasi ga ?',,,,b'',b'-_-',b'Harmon_sitohang',0,0
1164940919654645761,2019-08-23 16:42:13,"b'intinya kalo team manusia mau menang, di meja sidang ga boleh ada manusia vaksin atau zombie yg di meja sidang cuma 1.'",,,,b'With 9 nannies',b'DIXON FAMS',b'DXNFAMS',0,0
